Name,Category,Description,GitHub URL,Stars,Native/Plugin,Language
trilium,Note Taking,Hierarchical note taking (vim mode),https://github.com/zadam/trilium,28000+,Native,JavaScript
calcurse,Calendar,Calendar and scheduling,https://github.com/lfos/calcurse,3500+,Native,C
taskwarrior-tui,Task Management,TUI for Taskwarrior,https://github.com/kdheepak/taskwarrior-tui,1100+,Native,Rust
taskell,Task Management,Command-line Kanban board,https://github.com/smallhadroncollider/taskell,1800+,Native,Haskell
vit,Task Management,TUI for Taskwarrior,https://github.com/vit-project/vit,500+,Native,Python
termshark,Network,Terminal UI for tshark,https://github.com/gcla/termshark,9500+,Native,Go
bandwhich,Network,Terminal bandwidth tool,https://github.com/imsnif/bandwhich,10000+,Native,Rust
trippy,Network,Network diagnostic tool,https://github.com/fujiapple852/trippy,4000+,Native,Rust
mpv,Video Player,Command line video player,https://github.com/mpv-player/mpv,29000+,Native,C
cointop,Crypto,Terminal cryptocurrency tracker,https://github.com/cointop-sh/cointop,4000+,Native,Go
ticker,Finance,Terminal stock ticker,https://github.com/achannarasappa/ticker,5000+,Native,Go
ncdu,Disk Usage,ncurses disk usage explorer,https://github.com/rofl0r/ncdu,2300+,Native,C
gdu,Disk Usage,Fast disk usage analyzer,https://github.com/dundee/gdu,4000+,Native,Go
dust,Disk Usage,More intuitive du,https://github.com/bootandy/dust,9000+,Native,Rust
bat,Pager,Cat clone with syntax highlighting,https://github.com/sharkdp/bat,51000+,Native,Rust
less,Pager,Terminal pager,https://github.com/gwsw/less,600+,Native,C
delta,Git Diff,Syntax-highlighting pager for git,https://github.com/dandavison/delta,24000+,Native,Rust
fx,JSON Viewer,Terminal JSON viewer,https://github.com/antonmedv/fx,19000+,Native,Go
jq,JSON Processor,Command-line JSON processor,https://github.com/jqlang/jq,31000+,Native,C
IdeaVim,IDE Plugin,Vim for JetBrains IDEs,https://github.com/JetBrains/ideavim,9500+,Plugin,Kotlin
VSCodeVim,IDE Plugin,Vim for VS Code,https://github.com/VSCodeVim/Vim,13500+,Plugin,TypeScript
vscode-neovim,IDE Plugin,Neovim integration for VS Code,https://github.com/vscode-neovim/vscode-neovim,6500+,Plugin,TypeScript
evil-mode,Emacs Plugin,Extensible vi layer for Emacs,https://github.com/emacs-evil/evil,3500+,Plugin,Emacs Lisp
spacemacs,Emacs Config,Emacs with vim bindings,https://github.com/syl20bnr/spacemacs,23800+,Plugin,Emacs Lisp
doom-emacs,Emacs Config,Emacs framework with evil-mode,https://github.com/doomemacs/doomemacs,19500+,Plugin,Emacs Lisp
i3wm,Window Manager,Tiling window manager,https://github.com/i3/i3,9500+,Native,C
sway,Window Manager,i3 for Wayland,https://github.com/swaywm/sway,15000+,Native,C
imv,Image Viewer,Image viewer for X11/Wayland,https://sr.ht/~exec64/imv/,500+,Native,C
nsxiv,Image Viewer,Neo Simple X Image Viewer,https://github.com/nsxiv/nsxiv,1100+,Native,C
vimiv-qt,Image Viewer,Image viewer with vim keybindings,https://github.com/karlch/vimiv-qt,700+,Native,Python
ble.sh,Shell Enhancement,Bash Line Editor with vim mode,https://github.com/akinomyoga/ble.sh,2800+,Plugin,Bash
zsh-vi-mode,Shell Plugin,Better vim mode for zsh,https://github.com/jeffreytse/zsh-vi-mode,3500+,Plugin,Zsh
iamb,Chat Client,Matrix client for Vim addicts,https://github.com/ulyssa/iamb,600+,Native,Rust
weechat,IRC Client,Extensible chat client,https://github.com/weechat/weechat,3000+,Native,C
irssi,IRC Client,IRC terminal client,https://github.com/irssi/irssi,2900+,Native,C
tig,Git TUI,Text-mode interface for git,https://github.com/jonas/tig,12500+,Native,C
gh-dash,GitHub TUI,GitHub dashboard,https://github.com/dlvhdr/gh-dash,5500+,Native,Go
mycli,Database CLI,CLI for MySQL with vim mode,https://github.com/dbcli/mycli,11500+,Native,Python
pgcli,Database CLI,CLI for PostgreSQL with vim mode,https://github.com/dbcli/pgcli,12300+,Native,Python
litecli,Database CLI,CLI for SQLite with vim mode,https://github.com/dbcli/litecli,2200+,Native,Python
wtfutil,Dashboard,Personal info dashboard,https://github.com/wtfutil/wtf,16000+,Native,Go
termscp,File Transfer,TUI file transfer,https://github.com/veeso/termscp,2100+,Native,Rust
mc,File Manager,GNU Midnight Commander,https://github.com/MidnightCommander/mc,2600+,Native,C
bvi,Hex Editor,Vi-like hex editor,https://bvi.sourceforge.net/,N/A,Native,C
hexer,Hex Editor,Vi-like binary editor,https://devel.ringlet.net/editors/hexer/,N/A,Native,C
ly,Display Manager,TUI display manager,https://github.com/fairyglade/ly,5500+,Native,Zig
alacritty,Terminal Emulator,Cross-platform terminal,https://github.com/alacritty/alacritty,57000+,Native,Rust
kitty,Terminal Emulator,GPU-based terminal,https://github.com/kovidgoyal/kitty,25000+,Native,C/Python
wezterm,Terminal Emulator,GPU-accelerated terminal,https://github.com/wez/wezterm,18000+,Native,Rust
vhs,Terminal Recording,Terminal GIF recording,https://github.com/charmbracelet/vhs,15000+,Native,Go
asciinema,Terminal Recording,Record terminal sessions,https://github.com/asciinema/asciinema,14500+,Native,Rust
procs,Process Viewer,Modern replacement for ps,https://github.com/dalance/procs,5000+,Native,Rust
viddy,Watch Command,Modern watch command,https://github.com/sachaos/viddy,4800+,Native,Go
tldr,Documentation,Simplified man pages,https://github.com/tldr-pages/tldr,52000+,Native,Various
cheat,Documentation,Cheatsheets on CLI,https://github.com/cheat/cheat,12500+,Native,Go
tealdeer,Documentation,Fast tldr client,https://github.com/dbrgn/tealdeer,4200+,Native,Rust
navi,Documentation,Cheatsheet tool,https://github.com/denisidoro/navi,15500+,Native,Rust
atuin,Shell History,Magical shell history,https://github.com/atuinsh/atuin,22000+,Native,Rust
mcfly,Shell History,Intelligent history search,https://github.com/cantino/mcfly,7000+,Native,Rust
zoxide,Directory Jump,Smarter cd command,https://github.com/ajeetdsouza/zoxide,24000+,Native,Rust
ripgrep,Search,Fast grep alternative,https://github.com/BurntSushi/ripgrep,50000+,Native,Rust
fd,Search,Fast find alternative,https://github.com/sharkdp/fd,35000+,Native,Rust
sd,Search/Replace,Find and replace CLI,https://github.com/chmln/sd,6000+,Native,Rust
eza,File Listing,Modern ls replacement,https://github.com/eza-community/eza,13000+,Native,Rust
lsd,File Listing,LSDeluxe - next gen ls,https://github.com/lsd-rs/lsd,14000+,Native,Rust
erdtree,File Listing,Tree-like file system viewer,https://github.com/solidiquis/erdtree,3500+,Native,Rust
hyperfine,Benchmarking,Command-line benchmarking,https://github.com/sharkdp/hyperfine,23000+,Native,Rust
tokei,Code Stats,Code statistics,https://github.com/XAMPPRocky/tokei,11500+,Native,Rust
scc,Code Stats,Fast code counter,https://github.com/boyter/scc,7000+,Native,Go
onefetch,Git Stats,Git repository summary,https://github.com/o2sh/onefetch,10000+,Native,Rust
lazyjj,Jujutsu,TUI for jj version control,https://github.com/Cretezy/lazyjj,500+,Native,Rust
serie,Git Visualization,Rich git commit graph,https://github.com/lusingander/serie,700+,Native,Rust
khal,Calendar,CLI calendar program,https://github.com/pimutils/khal,2700+,Native,Python
todoman,Task Management,CLI task manager,https://github.com/pimutils/todoman,500+,Native,Python
papis,Bibliography,CLI bibliography manager,https://github.com/papis/papis,1500+,Native,Python
pass,Password Manager,Standard Unix password manager,https://www.passwordstore.org/,N/A,Native,Shell
gopass,Password Manager,Team password manager,https://github.com/gopasspw/gopass,6000+,Native,Go
abook,Address Book,TUI addressbook,https://abook.sourceforge.io/,N/A,Native,C
joplin,Note Taking,Note taking app (vim mode),https://github.com/laurent22/joplin,47000+,Native,TypeScript
notable,Note Taking,Markdown note taking,https://github.com/notable/notable,22500+,Native,TypeScript
zk,Note Taking,Zettelkasten CLI,https://github.com/zk-org/zk,800+,Native,Go
nb,Note Taking,CLI note-taking,https://github.com/xwmx/nb,6800+,Native,Shell
stu,AWS S3,TUI for Amazon S3,https://github.com/lusingander/stu,1000+,Native,Rust
s3cmd,AWS S3,S3 command line tool,https://github.com/s3tools/s3cmd,4600+,Native,Python
awscli,AWS CLI,AWS Command Line Interface,https://github.com/aws/aws-cli,15500+,Native,Python
aws-vault,AWS,AWS credential helper,https://github.com/99designs/aws-vault,8600+,Native,Go
kubectl,Kubernetes,Kubernetes CLI,https://github.com/kubernetes/kubectl,3000+,Native,Go
helm,Kubernetes,Kubernetes package manager,https://github.com/helm/helm,27500+,Native,Go
stern,Kubernetes,Multi-pod log tailing,https://github.com/stern/stern,7200+,Native,Go
kubectx,Kubernetes,Context/namespace switcher,https://github.com/ahmetb/kubectx,18000+,Native,Go
podman,Container,Docker alternative,https://github.com/containers/podman,24500+,Native,Go
buildah,Container,Container image builder,https://github.com/containers/buildah,7500+,Native,Go
skopeo,Container,Container image operations,https://github.com/containers/skopeo,8500+,Native,Go
duf,Disk Usage,Better df alternative,https://github.com/muesli/duf,13000+,Native,Go
diskus,Disk Usage,Minimal fast disk usage,https://github.com/sharkdp/diskus,600+,Native,Rust
xh,HTTP Client,Friendly HTTPie clone,https://github.com/ducaale/xh,5500+,Native,Rust
httpie,HTTP Client,Human-friendly HTTP client,https://github.com/httpie/cli,34500+,Native,Python
curlie,HTTP Client,Curl with HTTPie interface,https://github.com/rs/curlie,2900+,Native,Go
grpcurl,gRPC Client,curl for gRPC,https://github.com/fullstorydev/grpcurl,11000+,Native,Go
evans,gRPC Client,gRPC REPL client,https://github.com/ktr0731/evans,4300+,Native,Go
hugo,Static Site,Static site generator,https://github.com/gohugoio/hugo,78000+,Native,Go
hexyl,Hex Viewer,Command-line hex viewer,https://github.com/sharkdp/hexyl,9500+,Native,Rust
oxker,Docker,Docker TUI,https://github.com/mrjackwills/oxker,700+,Native,Rust
lazycli,CLI Builder,Static CLI builder,https://github.com/jesseduffield/lazycli,200+,Native,Go
gum,Shell Scripts,Glamorous shell scripts,https://github.com/charmbracelet/gum,19000+,Native,Go
charm,Cloud,Charm cloud tools,https://github.com/charmbracelet/charm,700+,Native,Go
soft-serve,Git Server,Self-hostable git server,https://github.com/charmbracelet/soft-serve,5500+,Native,Go
mods,AI,AI on the CLI,https://github.com/charmbracelet/mods,3000+,Native,Go
ollama,AI,Run LLMs locally,https://github.com/ollama/ollama,105000+,Native,Go
aichat,AI,AI chat CLI,https://github.com/sigoden/aichat,5000+,Native,Rust
tgpt,AI,Terminal GPT,https://github.com/aandrew-me/tgpt,2000+,Native,Go
shell-gpt,AI,Shell GPT assistant,https://github.com/TheR1D/shell_gpt,10000+,Native,Python
fabric,AI,AI patterns framework,https://github.com/danielmiessler/fabric,26000+,Native,Go
gptel,AI,Emacs LLM client,https://github.com/karthink/gptel,1500+,Plugin,Emacs Lisp
copilot.vim,AI,GitHub Copilot for Vim,https://github.com/github/copilot.vim,8500+,Plugin,Vim script
codeium.vim,AI,AI autocomplete for Vim,https://github.com/Exafunction/codeium.vim,4000+,Plugin,Vim script
age,Encryption,Simple encryption tool,https://github.com/FiloSottile/age,17500+,Native,Go
sops,Encryption,Secrets management,https://github.com/getsops/sops,17000+,Native,Go
git-crypt,Encryption,Git encryption,https://github.com/AGWA/git-crypt,8500+,Native,C++
chezmoi,Dotfiles,Dotfiles manager,https://github.com/twpayne/chezmoi,14000+,Native,Go
yadm,Dotfiles,Yet Another Dotfiles Manager,https://github.com/TheLocehili);/yadm,5200+,Native,Shell
stow,Dotfiles,Symlink farm manager,https://www.gnu.org/software/stow/,N/A,Native,Perl
direnv,Environment,Directory environments,https://github.com/direnv/direnv,13000+,Native,Go
asdf,Version Manager,Multi-runtime version manager,https://github.com/asdf-vm/asdf,22500+,Native,Shell
mise,Version Manager,Dev environment setup,https://github.com/jdx/mise,12000+,Native,Rust
fnm,Version Manager,Fast Node manager,https://github.com/Schniz/fnm,18500+,Native,Rust
pyenv,Version Manager,Python version manager,https://github.com/pyenv/pyenv,40000+,Native,Shell
rbenv,Version Manager,Ruby version manager,https://github.com/rbenv/rbenv,16300+,Native,Shell
rustup,Version Manager,Rust toolchain manager,https://github.com/rust-lang/rustup,6500+,Native,Rust
starship,Shell Prompt,Cross-shell prompt,https://github.com/starship/starship,47000+,Native,Rust
powerlevel10k,Shell Prompt,Zsh theme,https://github.com/romkatv/powerlevel10k,47000+,Plugin,Zsh
oh-my-zsh,Shell Config,Zsh configuration framework,https://github.com/ohmyzsh/ohmyzsh,176000+,Plugin,Shell
zinit,Shell Plugin,Zsh plugin manager,https://github.com/zdharma-continuum/zinit,3300+,Plugin,Zsh
fish,Shell,Friendly interactive shell,https://github.com/fish-shell/fish-shell,26000+,Native,C++
nushell,Shell,New type of shell,https://github.com/nushell/nushell,33500+,Native,Rust
xonsh,Shell,Python-powered shell,https://github.com/xonsh/xonsh,8500+,Native,Python
lazytrivy,Security,Trivy scanner TUI,https://github.com/owenrumney/lazytrivy,200+,Native,Go
grype,Security,Vulnerability scanner,https://github.com/anchore/grype,9000+,Native,Go
syft,Security,SBOM generator,https://github.com/anchore/syft,6500+,Native,Go
trivy,Security,Security scanner,https://github.com/aquasecurity/trivy,24000+,Native,Go
gitleaks,Security,Secret scanner,https://github.com/gitleaks/gitleaks,18500+,Native,Go
trufflehog,Security,Secret finder,https://github.com/trufflesecurity/trufflehog,17000+,Native,Go
hadolint,Linting,Dockerfile linter,https://github.com/hadolint/hadolint,10500+,Native,Haskell
shellcheck,Linting,Shell script analyzer,https://github.com/koalaman/shellcheck,37000+,Native,Haskell
actionlint,Linting,GitHub Actions linter,https://github.com/rhysd/actionlint,2800+,Native,Go
yamllint,Linting,YAML linter,https://github.com/adrienverge/yamllint,2900+,Native,Python
markdownlint,Linting,Markdown linter,https://github.com/DavidAnson/markdownlint,4900+,Native,JavaScript
vale,Linting,Prose linter,https://github.com/errata-ai/vale,5000+,Native,Go
difftastic,Diff,Structural diff tool,https://github.com/Wilfred/difftastic,21000+,Native,Rust
dyff,Diff,YAML/JSON diff tool,https://github.com/homeport/dyff,1400+,Native,Go
jless,JSON Viewer,JSON viewer,https://github.com/PaulJuliusMartinez/jless,4800+,Native,Rust
yq,YAML Processor,YAML processor,https://github.com/mikefarah/yq,12500+,Native,Go
dasel,Data Processor,Data selector,https://github.com/TomWright/dasel,5500+,Native,Go
miller,Data Processor,CSV/JSON/tabular processor,https://github.com/johnkerl/miller,9000+,Native,Go
csvkit,Data Processor,CSV tools,https://github.com/wireservice/csvkit,6000+,Native,Python
vd,Data Processor,VisiData alias,https://github.com/saulpw/visidata,8500+,Native,Python
pv,Pipeline,Pipe viewer,https://github.com/a-j-wood/pv,500+,Native,C
parallel,Pipeline,Parallel command execution,https://www.gnu.org/software/parallel/,N/A,Native,Perl
watchexec,File Watcher,Execute on file change,https://github.com/watchexec/watchexec,5500+,Native,Rust
entr,File Watcher,Run commands on file change,https://github.com/eradman/entr,4500+,Native,C
reflex,File Watcher,Run commands on file change,https://github.com/cespare/reflex,2500+,Native,Go
just,Task Runner,Command runner,https://github.com/casey/just,22500+,Native,Rust
task,Task Runner,Task runner/build tool,https://github.com/go-task/task,12000+,Native,Go
make,Task Runner,GNU Make,https://www.gnu.org/software/make/,N/A,Native,C
mage,Task Runner,Make/Rake for Go,https://github.com/magefile/mage,4200+,Native,Go
xc,Task Runner,Markdown task runner,https://github.com/joerdav/xc,1200+,Native,Go
act,CI/CD,Run GitHub Actions locally,https://github.com/nektos/act,57000+,Native,Go
dagger,CI/CD,Portable devkit,https://github.com/dagger/dagger,12000+,Native,Go
earthly,CI/CD,Build automation,https://github.com/earthly/earthly,11500+,Native,Go
nix,Package Manager,Nix package manager,https://github.com/NixOS/nix,13000+,Native,C++
home-manager,Nix,Nix user environment,https://github.com/nix-community/home-manager,7500+,Native,Nix
brew,Package Manager,Homebrew,https://github.com/Homebrew/brew,42000+,Native,Ruby
cargo,Package Manager,Rust package manager,https://github.com/rust-lang/cargo,13500+,Native,Rust
pnpm,Package Manager,Fast npm alternative,https://github.com/pnpm/pnpm,30500+,Native,TypeScript
yarn,Package Manager,JavaScript package manager,https://github.com/yarnpkg/berry,7500+,Native,TypeScript
uv,Package Manager,Fast Python package installer,https://github.com/astral-sh/uv,35000+,Native,Rust
rye,Python Tools,Python project manager,https://github.com/astral-sh/rye,14000+,Native,Rust
poetry,Python Tools,Python dependency manager,https://github.com/python-poetry/poetry,32000+,Native,Python
pdm,Python Tools,Python package manager,https://github.com/pdm-project/pdm,8000+,Native,Python
pipx,Python Tools,Python app installer,https://github.com/pypa/pipx,10500+,Native,Python
rustfmt,Code Format,Rust formatter,https://github.com/rust-lang/rustfmt,6000+,Native,Rust
prettier,Code Format,Code formatter,https://github.com/prettier/prettier,50000+,Native,JavaScript
black,Code Format,Python formatter,https://github.com/psf/black,39500+,Native,Python
ruff,Python Tools,Fast Python linter,https://github.com/astral-sh/ruff,35000+,Native,Rust
biome,Code Format,Web toolchain,https://github.com/biomejs/biome,16500+,Native,Rust
shfmt,Code Format,Shell formatter,https://github.com/mvdan/sh,7500+,Native,Go
stylua,Code Format,Lua formatter,https://github.com/JohnnyMorganz/StyLua,2000+,Native,Rust
taplo,Code Format,TOML toolkit,https://github.com/tamasfe/taplo,1500+,Native,Rust
neofetch,System Info,System info script,https://github.com/dylanaraps/neofetch,22500+,Native,Shell
fastfetch,System Info,System info tool,https://github.com/fastfetch-cli/fastfetch,11000+,Native,C
macchina,System Info,System info fetcher,https://github.com/Macchina-CLI/macchina,1500+,Native,Rust
pfetch,System Info,Pretty system info,https://github.com/dylanaraps/pfetch,2200+,Native,Shell
screenfetch,System Info,System info script,https://github.com/KittyKatt/screenFetch,3900+,Native,Shell
inxi,System Info,System information,https://github.com/smxi/inxi,1000+,Native,Perl
tree,File Listing,Directory tree,https://github.com/Old-Man-Programmer/tree,500+,Native,C
tre,File Listing,Tree with git awareness,https://github.com/dduan/tre,800+,Native,Rust
broot,File Listing,Interactive tree,https://github.com/Canop/broot,11000+,Native,Rust
tree-sitter,Parsing,Parser generator,https://github.com/tree-sitter/tree-sitter,19000+,Native,Rust
semgrep,Code Analysis,Static analysis,https://github.com/semgrep/semgrep,11000+,Native,OCaml
ast-grep,Code Analysis,Structural search,https://github.com/ast-grep/ast-grep,7500+,Native,Rust
comby,Code Analysis,Structural code search,https://github.com/comby-tools/comby,2500+,Native,OCaml
silver-searcher,Search,Ag - code searching,https://github.com/ggreer/the_silver_searcher,26500+,Native,C
ack,Search,Code-aware grep,https://github.com/beyondgrep/ack3,1800+,Native,Perl
ugrep,Search,Fast grep,https://github.com/Genivia/ugrep,1700+,Native,C++
peco,Filter,Simplistic interactive filtering,https://github.com/peco/peco,7700+,Native,Go
percol,Filter,Interactive filtering,https://github.com/mooz/percol,3300+,Native,Python
skim,Fuzzy Finder,Fuzzy finder in Rust,https://github.com/lotabout/skim,5200+,Native,Rust
rofi,Launcher,Window switcher/launcher,https://github.com/davatorium/rofi,13500+,Native,C
dmenu,Launcher,Dynamic menu,https://tools.suckless.org/dmenu/,N/A,Native,C
wofi,Launcher,Wayland launcher,https://hg.sr.ht/~scoopta/wofi,N/A,Native,C
tofi,Launcher,Wayland dmenu replacement,https://github.com/philj56/tofi,800+,Native,C
bemenu,Launcher,Dynamic menu for Wayland,https://github.com/Cloudef/bemenu,800+,Native,C
croc,File Transfer,Easy file transfer,https://github.com/schollz/croc,28500+,Native,Go
magic-wormhole,File Transfer,Secure file transfer,https://github.com/magic-wormhole/magic-wormhole,20500+,Native,Python
rsync,File Transfer,File synchronization,https://rsync.samba.org/,N/A,Native,C
rclone,File Transfer,Cloud storage sync,https://github.com/rclone/rclone,48500+,Native,Go
syncthing,File Sync,Continuous file sync,https://github.com/syncthing/syncthing,67000+,Native,Go
lftp,FTP Client,FTP/HTTP client,https://lftp.yar.ru/,N/A,Native,C++
aria2,Download,Download utility,https://github.com/aria2/aria2,36000+,Native,C++
curl,HTTP Client,URL transfer tool,https://github.com/curl/curl,36500+,Native,C
wget,HTTP Client,Network downloader,https://www.gnu.org/software/wget/,N/A,Native,C
axel,Download,Light download accelerator,https://github.com/axel-download-accelerator/axel,3000+,Native,C
youtube-dl,Media Download,Video downloader,https://github.com/ytdl-org/youtube-dl,133000+,Native,Python
yt-dlp,Media Download,youtube-dl fork,https://github.com/yt-dlp/yt-dlp,93000+,Native,Python
gallery-dl,Media Download,Image/video downloader,https://github.com/mikf/gallery-dl,12500+,Native,Python
ani-cli,Media,Anime streaming CLI,https://github.com/pystardust/ani-cli,8500+,Native,Shell
mov-cli,Media,Media streaming CLI,https://github.com/mov-cli/mov-cli,1500+,Native,Python
streamlink,Media,Stream extractor,https://github.com/streamlink/streamlink,10500+,Native,Python
catt,Media,Cast to Chromecast,https://github.com/skorokithakis/catt,2300+,Native,Python
imagemagick,Image Processing,Image manipulation,https://github.com/ImageMagick/ImageMagick,12500+,Native,C
ffmpeg,Media Processing,Media processing,https://github.com/FFmpeg/FFmpeg,47000+,Native,C
sox,Audio Processing,Sound processing,https://sourceforge.net/projects/sox/,N/A,Native,C
espeak,Text-to-Speech,Speech synthesizer,https://github.com/espeak-ng/espeak-ng,4500+,Native,C
asciinema-agg,Terminal Recording,GIF generator for asciinema,https://github.com/asciinema/agg,1300+,Native,Rust
peek,Screen Recording,GIF screen recorder,https://github.com/phw/peek,10500+,Native,Vala
silicon,Code Images,Create code images,https://github.com/Aloxaf/silicon,3500+,Native,Rust
carbon-now-cli,Code Images,Code to image,https://github.com/mixn/carbon-now-cli,5800+,Native,JavaScript
